epoch,accuracy,loss,val_accuracy,val_loss
0,0.4150888919830322,1.6173590421676636,0.5329999923706055,1.3253192901611328
1,0.5329333543777466,1.3223005533218384,0.5952000021934509,1.1732606887817383
2,0.5768222212791443,1.2106741666793823,0.6262000203132629,1.093522548675537
3,0.5997999906539917,1.1455652713775635,0.6114000082015991,1.136347770690918
4,0.615244448184967,1.098982572555542,0.6714000105857849,0.9729965925216675
5,0.6303555369377136,1.062646746635437,0.6700000166893005,0.9728818535804749
6,0.6447333097457886,1.02768874168396,0.6812000274658203,0.9496842622756958
7,0.6544666886329651,0.9997641444206238,0.6632000207901001,0.9680731296539307
8,0.6578888893127441,0.9827646017074585,0.6883999705314636,0.9149052500724792
9,0.666533350944519,0.9637612700462341,0.6937999725341797,0.8918282985687256
10,0.6709555387496948,0.9432939887046814,0.6931999921798706,0.9109997153282166
11,0.675599992275238,0.9335273504257202,0.7134000062942505,0.8558526635169983
12,0.684333324432373,0.9153779745101929,0.7106000185012817,0.8666595816612244
13,0.687666654586792,0.903151273727417,0.717199981212616,0.8385388851165771
14,0.6920444369316101,0.8898289799690247,0.7192000150680542,0.8522499203681946
15,0.6956222057342529,0.8775637745857239,0.7300000190734863,0.8131049275398254
16,0.6975555419921875,0.8717320561408997,0.7337999939918518,0.8089176416397095
17,0.7037333250045776,0.8553174734115601,0.7185999751091003,0.8447981476783752
18,0.7039333581924438,0.84961998462677,0.7301999926567078,0.8123188018798828
19,0.7033777832984924,0.850829005241394,0.7387999892234802,0.7795236706733704
20,0.7082666754722595,0.8386478424072266,0.7232000231742859,0.8239629864692688
21,0.7109555602073669,0.8268001079559326,0.7333999872207642,0.7879902124404907
22,0.7150222063064575,0.8212576508522034,0.7372000217437744,0.8036195039749146
23,0.7154222130775452,0.8154369592666626,0.7379999756813049,0.7801161408424377
24,0.7176222205162048,0.8093053102493286,0.7436000108718872,0.7780827283859253
25,0.7202444672584534,0.8021462559700012,0.732200026512146,0.8077583909034729
26,0.7232221961021423,0.801871120929718,0.7369999885559082,0.7778518795967102
27,0.7253111004829407,0.7903107404708862,0.7444000244140625,0.7533329725265503
28,0.7246888875961304,0.7907781004905701,0.7342000007629395,0.7983951568603516
29,0.7278000116348267,0.7824029326438904,0.741599977016449,0.755397379398346
