Epoch [23/200] Batch 400/938                   Loss D: 0.3412, Loss G: 1.6835
Epoch [23/200] Batch 800/938                   Loss D: 0.3151, Loss G: 1.7452
Epoch [24/200] Batch 0/938                   Loss D: 0.3546, Loss G: 3.1677
Epoch [24/200] Batch 400/938                   Loss D: 0.3076, Loss G: 2.3141
Epoch [24/200] Batch 800/938                   Loss D: 0.2839, Loss G: 2.3612
Epoch [25/200] Batch 0/938                   Loss D: 0.3864, Loss G: 2.2905
Epoch [25/200] Batch 400/938                   Loss D: 0.4016, Loss G: 2.8160
Epoch [25/200] Batch 800/938                   Loss D: 0.3606, Loss G: 2.0540
Epoch [26/200] Batch 0/938                   Loss D: 0.4154, Loss G: 2.4939
Epoch [26/200] Batch 400/938                   Loss D: 0.3456, Loss G: 2.0093
Epoch [26/200] Batch 800/938                   Loss D: 0.3218, Loss G: 1.7499
Epoch [27/200] Batch 0/938                   Loss D: 0.3823, Loss G: 2.3092
Epoch [27/200] Batch 400/938                   Loss D: 0.4522, Loss G: 1.2278
Epoch [27/200] Batch 800/938                   Loss D: 0.3579, Loss G: 2.0428
Epoch [28/200] Batch 0/938                   Loss D: 0.3987, Loss G: 1.3898
Epoch [28/200] Batch 400/938                   Loss D: 0.3765, Loss G: 1.7026
Epoch [28/200] Batch 800/938                   Loss D: 0.3657, Loss G: 1.3394
Epoch [29/200] Batch 0/938                   Loss D: 0.4397, Loss G: 1.4111
Epoch [29/200] Batch 400/938                   Loss D: 0.4206, Loss G: 2.0627
Epoch [29/200] Batch 800/938                   Loss D: 0.3446, Loss G: 1.6399
Epoch [30/200] Batch 0/938                   Loss D: 0.3522, Loss G: 1.4715
Epoch [30/200] Batch 400/938                   Loss D: 0.4410, Loss G: 2.0158
Epoch [30/200] Batch 800/938                   Loss D: 0.4634, Loss G: 2.3438
Epoch [31/200] Batch 0/938                   Loss D: 0.3732, Loss G: 1.5185
Epoch [31/200] Batch 400/938                   Loss D: 0.5036, Loss G: 1.1656
Epoch [31/200] Batch 800/938                   Loss D: 0.4092, Loss G: 1.6566
Epoch [32/200] Batch 0/938                   Loss D: 0.4429, Loss G: 1.2040
Epoch [32/200] Batch 400/938                   Loss D: 0.3755, Loss G: 1.9850
Epoch [32/200] Batch 800/938                   Loss D: 0.4836, Loss G: 1.4613
Epoch [33/200] Batch 0/938                   Loss D: 0.5404, Loss G: 1.0382
Epoch [33/200] Batch 400/938                   Loss D: 0.3268, Loss G: 2.3072
Epoch [33/200] Batch 800/938                   Loss D: 0.4479, Loss G: 1.1983
Epoch [34/200] Batch 0/938                   Loss D: 0.4195, Loss G: 2.1173
Epoch [34/200] Batch 400/938                   Loss D: 0.4453, Loss G: 1.5906
Epoch [34/200] Batch 800/938                   Loss D: 0.4302, Loss G: 1.6702
Epoch [35/200] Batch 0/938                   Loss D: 0.4189, Loss G: 1.2437
Epoch [35/200] Batch 400/938                   Loss D: 0.4013, Loss G: 1.6708
Epoch [35/200] Batch 800/938                   Loss D: 0.5167, Loss G: 1.0788
Epoch [36/200] Batch 0/938                   Loss D: 0.5105, Loss G: 1.1824
Epoch [36/200] Batch 400/938                   Loss D: 0.4719, Loss G: 2.1418
Epoch [36/200] Batch 800/938                   Loss D: 0.4013, Loss G: 1.5267
Epoch [37/200] Batch 0/938                   Loss D: 0.4264, Loss G: 1.2871
Epoch [37/200] Batch 400/938                   Loss D: 0.4535, Loss G: 1.6168
Epoch [37/200] Batch 800/938                   Loss D: 0.4145, Loss G: 1.8501
Epoch [38/200] Batch 0/938                   Loss D: 0.4576, Loss G: 1.5034
Epoch [38/200] Batch 400/938                   Loss D: 0.4891, Loss G: 1.5329
Epoch [38/200] Batch 800/938                   Loss D: 0.4475, Loss G: 1.2888
Epoch [39/200] Batch 0/938                   Loss D: 0.4792, Loss G: 1.1727
Epoch [39/200] Batch 400/938                   Loss D: 0.3492, Loss G: 1.4119
Epoch [39/200] Batch 800/938                   Loss D: 0.5009, Loss G: 1.8816
Epoch [40/200] Batch 0/938                   Loss D: 0.4770, Loss G: 1.1829
Epoch [40/200] Batch 400/938                   Loss D: 0.4325, Loss G: 1.7066
Epoch [40/200] Batch 800/938                   Loss D: 0.5054, Loss G: 2.0152
Epoch [41/200] Batch 0/938                   Loss D: 0.4817, Loss G: 1.4286
Epoch [41/200] Batch 400/938                   Loss D: 0.4326, Loss G: 1.3490
Epoch [41/200] Batch 800/938                   Loss D: 0.4807, Loss G: 1.2420
Epoch [42/200] Batch 0/938                   Loss D: 0.4935, Loss G: 1.2482
Epoch [42/200] Batch 400/938                   Loss D: 0.4753, Loss G: 1.8158
Epoch [42/200] Batch 800/938                   Loss D: 0.5589, Loss G: 2.3698
Epoch [43/200] Batch 0/938                   Loss D: 0.5507, Loss G: 1.0732
Epoch [43/200] Batch 400/938                   Loss D: 0.3699, Loss G: 1.5511
Epoch [43/200] Batch 800/938                   Loss D: 0.4414, Loss G: 1.8221
Epoch [44/200] Batch 0/938                   Loss D: 0.5105, Loss G: 1.2178
Epoch [44/200] Batch 400/938                   Loss D: 0.4185, Loss G: 1.3301
Epoch [44/200] Batch 800/938                   Loss D: 0.4648, Loss G: 1.7560
Epoch [45/200] Batch 0/938                   Loss D: 0.4664, Loss G: 1.3441
Epoch [45/200] Batch 400/938                   Loss D: 0.4779, Loss G: 1.3307
Epoch [45/200] Batch 800/938                   Loss D: 0.4162, Loss G: 1.7896
Epoch [46/200] Batch 0/938                   Loss D: 0.4886, Loss G: 1.0878
Epoch [46/200] Batch 400/938                   Loss D: 0.5047, Loss G: 0.9728
Epoch [46/200] Batch 800/938                   Loss D: 0.5239, Loss G: 1.4992
Epoch [47/200] Batch 0/938                   Loss D: 0.4667, Loss G: 1.0732
Epoch [47/200] Batch 400/938                   Loss D: 0.4328, Loss G: 1.2966
Epoch [47/200] Batch 800/938                   Loss D: 0.5285, Loss G: 1.4380
Epoch [48/200] Batch 0/938                   Loss D: 0.5674, Loss G: 0.9554
Epoch [48/200] Batch 400/938                   Loss D: 0.4575, Loss G: 1.9701
Epoch [48/200] Batch 800/938                   Loss D: 0.4361, Loss G: 1.4953
Epoch [49/200] Batch 0/938                   Loss D: 0.4237, Loss G: 1.7564
Epoch [49/200] Batch 400/938                   Loss D: 0.4526, Loss G: 1.3770
Epoch [49/200] Batch 800/938                   Loss D: 0.5021, Loss G: 1.4639
Epoch [50/200] Batch 0/938                   Loss D: 0.5337, Loss G: 1.1241
Epoch [50/200] Batch 400/938                   Loss D: 0.4894, Loss G: 1.2697
Epoch [50/200] Batch 800/938                   Loss D: 0.4137, Loss G: 1.5477
Epoch [51/200] Batch 0/938                   Loss D: 0.4793, Loss G: 1.5238
